,sentence1,sentence2,pronoun,referent,wrong_referent
1256,The precision knife scraped the school fence quickly,It was a enclosing the construction site,It,fence,knife
1257,The heavy-duty knife scraped the parking fence with power,It was sharp and well-oiled,It,knife,fence
1258,The storm obstructed the flight,It was full of passengers,It,flight,storm
1259,The plucky birds snatched the seeds,They were seeking new opportunities,They,birds,seeds
1260,The heart drove life-giving blood that maintained life,It was a fluid-balancing fluid,It,blood,heart
1261,The students reviewed the books,They were planning their next trip,They,students,books
1262,The knife cut through the fence with power,It was sharp and precise,It,knife,fence
1263,The determined birds flitted to the tough seeds,They were a delicious snack,They,seeds,birds
1264,The inexperienced sailors fled the boats,They were causing accidents,They,boats,sailors
1265,The people gathered against the government,They were abusing their power,They,government,people
1266,The powerful knife scratched the construction fence surrounding the property,It was a rotten and weakened,It,fence,knife
1267,The dedicated students scrutinized the books,They were outdated,They,books,students
1268,The knife punctured the fence with one quick strike,It was a precise tool,It,knife,fence
1269,The dull knife scratched the swimming fence separating the yards,It was a separating the properties,It,fence,knife
1270,The students absorbed the stimulating books,They were enhancing their skills,They,students,books
1271,The birds explored the seeds,They were curious creatures,They,birds,seeds
1272,The serrated knife sliced through the fence rapidly,It was poorly constructed and brittle,It,fence,knife
1273,The accurate sniper took down the terrorist,He was a successful assassin,He,sniper,terrorist
1274,The agile bee crawled on the flower,It was rich in nectar,It,flower,bee
1275,The sniper neutralized the terrorist,He was a precise killer,He,sniper,terrorist
1276,The imaginative students learned from the contemporary books,They were outdated,They,books,students
1277,The starving birds sampled the delectable seeds,They were a filling food,They,seeds,birds
1278,The precision knife scraped the soccer fence surrounding the garden,It was a separating the yards,It,fence,knife
1279,The panicked sailors plunged into the boats,They were breaking down,They,boats,sailors
1280,The storm forced the scheduled flight,It was creating dangerous conditions,It,storm,flight
1281,The peaceful people staged a march against the government,They were using excessive force,They,government,people
1282,The knife punctured the fence surrounding the garden,It was blocking the view,It,fence,knife
1283,The creative students learned from the humorous books,They were enjoying the experience,They,students,books
1284,The heart moved essential blood rapidly,It was a strong muscle,It,heart,blood
1285,The clever bee settled on the lovely flower,It was supplying nectar,It,flower,bee
1286,The skilled sailors dove off the boats,They were facing malfunctions,They,boats,sailors
1287,The passionate heart circulated blood with unwavering attention,It was a rhythmic organ,It,heart,blood
1288,The people gathered against the government,They were representing all voices,They,people,government
1289,The innovative people rallied together against the unfair government,They were suppressing media,They,government,people
1290,The bee examined the flower,It was a sensory feast,It,flower,bee
1291,The active birds found the overlooked seeds,They were a delicious snack,They,seeds,birds
1292,The panicked sailors tumbled off the boats,They were not safe,They,boats,sailors
1293,The swift birds tried the seeds,They were a dessert,They,seeds,birds
1294,The storm devastated the scheduled flight,It was full of passengers,It,flight,storm
1295,The people held a sit-in against the government,They were censoring the media,They,government,people
1296,The resourceful sailors dropped off the boats,They were facing malfunctions,They,boats,sailors
1297,The eager bee rested on the towering flower,It was magnificent,It,flower,bee
1298,The peaceful people took action against the government,They were speaking out,They,people,government
1299,The imaginative students pored over the comedy books,They were stimulating their intellect,They,students,books
1300,The sharp knife sliced through the fence surrounding the property,It was separating the garden from the street,It,fence,knife
1301,The brave bee visited the towering flower,It was loaded with pollen,It,flower,bee
1302,The people started a march against the dismissive government,They were seeking reform,They,people,government
1303,The police raided the criminals in the act,They were unpredictable and violent,They,criminals,police
1304,The sailors escaped from the unsteady boats,They were facing unexpected challenges,They,sailors,boats
1305,The sailors dived off the equipped boats,They were navigating through rough waves,They,sailors,boats
1306,The knife punctured the soccer fence surrounding the property,It was surrounding the property,It,fence,knife
1307,The sturdy knife cut through the community fence blocking the path,It was a easily cut,It,fence,knife
1308,The precise sniper executed the terrorist,He was a top shooter,He,sniper,terrorist
1309,The adventurous students scrutinized the stimulating books,They were shaping their future,They,students,books
1310,The sailors dived off the over-loaded boats,They were not balanced,They,boats,sailors
1311,The innovative birds approached the seeds,They were a satisfying meal,They,seeds,birds
1312,The dull knife punctured the old fence effortlessly,It was precise and effective,It,knife,fence
1313,The fearless people staged a march against the dishonest government,They were suppressing democracy,They,government,people
1314,The determined birds searched for the tempting seeds,They were filled with vitamins,They,seeds,birds
1315,The heart pumped blood that nourished cells,It was a essential liquid,It,blood,heart
1316,The persistent birds picked at the tempting seeds,They were crunchy,They,seeds,birds
1317,The sailors slid off the loaded boats,They were falling apart,They,boats,sailors
1318,The accurate sniper took aim the brutal terrorist,He was a veteran shooter,He,sniper,terrorist
1319,The diligent students examined the thought-provoking books,They were boring,They,books,students
1320,The sniper executed the brutal terrorist,He was a bad dictator,He,terrorist,sniper
1321,The intense storm forced the commercial flight,It was carrying important documents,It,flight,storm
1322,The birds discovered the scrumptious seeds,They were having a delicious meal,They,birds,seeds
1323,The storm postponed the international flight,It was full of passengers,It,flight,storm
1324,The hard-working students read the self-help books,They were well-written,They,books,students
1325,The fearless people gathered for a rally against the out-of-touch government,They were promoting corruption,They,government,people
1326,The people held a sit-in against the government,They were fighting for equality,They,people,government
1327,The determined sailors threw themselves off the boats,They were experiencing mechanical failure,They,boats,sailors
1328,The precise sniper assassinated the dangerous terrorist,He was a vicious arms smuggler,He,terrorist,sniper
1329,The accurate sniper executed the terrorist,He was a veteran sharpshooter,He,sniper,terrorist
1330,The sniper assassinated the terrorist,He was a dangerous drug lord,He,terrorist,sniper
1331,The busy birds picked at the delectable seeds,They were expanding their palate,They,birds,seeds
1332,The sniper executed the terrorist,He was a dangerous killer,He,terrorist,sniper
1333,The treacherous storm caused trouble for the flight,It was headed for Europe,It,flight,storm
1334,The winning sniper took out the terrorist,He was a veteran marksman,He,sniper,terrorist
1335,The bee flew from the flower,It was bursting with nectar,It,flower,bee
1336,The sailors fell off the unsound boats,They were facing a storm,They,sailors,boats
1337,The eager bee inspected the pristine flower,It was overflowing with nectar,It,flower,bee
1338,The sailors escaped from the safe boats,They were not trained,They,sailors,boats
1339,The adventurous students pored over the books,They were outdated,They,books,students
1340,The students researched the adventurous books,They were written by experts,They,books,students
1341,The creative heart beat blood with unwavering attention,It was a agile muscle,It,heart,blood
1342,The people stood together against the government,They were committing atrocities,They,government,people
1343,The fearless people organized a strike against the unjust government,They were embezzling funds,They,government,people
1344,The self-assured heart circulated blood that supported life,It was a life-giving liquid,It,blood,heart
1345,The bee flew over the fruitful flower,It was sipping nectar,It,bee,flower
1346,The sailors plunged into the understaffed boats,They were not thinking ahead,They,sailors,boats
1347,The durable knife scratched the fence blocking the path,It was easily cut,It,fence,knife
1348,The veteran sailors jumped off the strong boats,They were sailing in treacherous waters,They,sailors,boats
1349,The ambitious students scrutinized the comedy books,They were gaining new perspectives,They,students,books
1350,The determined bee flew back out of the intricate flower,It was brimming with nectar,It,flower,bee
1351,The sniper assassinated the terrorist,He was a brutal human rights abuser,He,terrorist,sniper
1352,The knife sliced through the weak fence rapidly,It was flimsy and ineffective,It,fence,knife
1353,The activist people raised their voices against the dismissive government,They were suppressing democracy,They,government,people
1354,The diligent students discussed the adventurous books,They were living on the edge,They,students,books
1355,The fierce storm affected the flight,It was carrying essential supplies,It,flight,storm
1356,The people marched against the government,They were violating privacy rights,They,government,people
1357,The bee settled on the flower,It was harvesting nectar,It,bee,flower
1358,The people organized a boycott against the government,They were blocking free speech,They,government,people
1359,The resourceful sailors plunged off the boats,They were overloading,They,boats,sailors
1360,The creative students absorbed the books,They were rich with meaning,They,books,students
1361,The violent storm battered the flight,It was flying to Hawaii,It,flight,storm
1362,The persistent students created projects based on the contemporary books,They were embracing their strengths,They,students,books
1363,The strong heart drove invigorating blood that aided digestion,It was a heart-supporting liquid,It,blood,heart
1364,The students scrutinized the ancient books,They were filled with data,They,books,students
1365,The sturdy heart moved life-renewing blood that sustained life,It was a hormone-transporting liquid,It,blood,heart
1366,The heart circulated necessary blood that fought infections,It was a hormone-transporting liquid,It,blood,heart
1367,The sniper executed the terrorist,He was a ruthless bomber,He,terrorist,sniper
1368,The heart drove sustaining blood with great force,It was a fearless organ,It,heart,blood
1369,The accurate sniper neutralized the terrorist,He was a top sharpshooter,He,sniper,terrorist
1370,The heart beat blood rapidly,It was a untiring muscle,It,heart,blood
1371,The accurate sniper killed the terrorist,He was a talented marksman,He,sniper,terrorist
1372,The serrated knife scratched the school fence with efficiency,It was a heavy-duty tool,It,knife,fence
1373,The precise sniper targeted the terrorist,He was a top marksman,He,sniper,terrorist
1374,The sturdy knife scratched the weak fence surrounding the park,It was a blocking the entrance,It,fence,knife
1375,The eager bee flew straight to the symmetrical flower,It was in full bloom,It,flower,bee
1376,The durable knife sliced through the fence blocking the path,It was enclosing the private garden,It,fence,knife
1377,The lucky sailors dived off the derelict boats,They were untrustworthy,They,boats,sailors
1378,The sniper took aim the terrorist,He was a accurate shooter,He,sniper,terrorist
1379,The birds nibbled on the slow seeds,They were tempting,They,seeds,birds
1380,The starving birds found the seeds,They were tasty and satisfying,They,seeds,birds
1381,The storm disrupted the flight,It was putting lives in peril,It,storm,flight
1382,The experienced sailors threw themselves off the boats,They were taking on water,They,boats,sailors
1383,The clever bee buzzed around the flower,It was attracting insects,It,flower,bee
1384,The students created projects based on the ancient books,They were filled with data,They,books,students
1385,The passionate heart moved skin-nourshing blood with great force,It was a tireless muscle,It,heart,blood
1386,The skilled bee gathered pollen from the flower,It was sipping nectar,It,bee,flower
1387,The destructive storm shattered the flight,It was flying to Hawaii,It,flight,storm
1388,The fearless people gathered for a rally against the government,They were making an impact,They,people,government
1389,The active bee buzzed around the flower,It was brimming with nectar,It,flower,bee
1390,The fearless heart beat blood with resilience,It was a trained muscle,It,heart,blood
1391,The sniper took aim the terrorist,He was a ruthless warmonger,He,terrorist,sniper
1392,The intense storm threatened the flight,It was carrying important documents,It,flight,storm
1393,The sailors plunged into the boats,They were overconfident,They,sailors,boats
1394,The athletic heart circulated blood with care,It was a well-functioning muscle,It,heart,blood
1395,The swift birds swooped down and ate the floral seeds,They were tasty,They,seeds,birds
1396,The powerful knife scratched the fence quickly,It was rusty and corroded,It,fence,knife
1397,The strong sailors escaped from the over-loaded boats,They were taking unnecessary risks,They,sailors,boats
1398,The unwavering people took to the street against the unjust government,They were engaging in torture,They,government,people
1399,The storm disrupted the flight,It was producing tornadoes,It,storm,flight
1400,The veteran sailors plummeted off the ill-designed boats,They were not balanced,They,boats,sailors
1401,The bee arrived on the flower,It was loaded with nectar,It,flower,bee
1402,The bee sought pollen from the delicious flower,It was rich in nectar,It,flower,bee
1403,The innovative people held a vigil against the ineffective government,They were making a statement,They,people,government
1404,The persistent birds swooped down to the tall seeds,They were quick and graceful,They,birds,seeds
1405,The eager bee was always on the delicious flower,It was providing food,It,flower,bee
1406,The sailors sprang from the unsteady boats,They were not thinking ahead,They,sailors,boats
1407,The heart circulated blood that fought infections,It was a immune-boosting fluid,It,blood,heart
1408,The adventurous sailors tumbled off the boats,They were not properly operated,They,boats,sailors
1409,The strong bee settled on the flowering flower,It was producing nectar,It,flower,bee
1410,The knife scraped the community fence with power,It was stuck for a moment,It,knife,fence
1411,The bee arrived on the lovely flower,It was searching for pollen,It,bee,flower
1412,The efficient bee explored the pristine flower,It was offering nectar,It,flower,bee
1413,The sailors sprang from the well-built boats,They were not sturdy,They,boats,sailors
1414,The storm destroyed the morning flight,It was putting travelers in danger,It,storm,flight
1415,The creative heart moved vitamin-rich blood that reduced inflammation,It was a temperature-controlling liquid,It,blood,heart
1416,The curious bee arrived on the flower,It was filled with pollen,It,flower,bee
1417,The students researched the humorous books,They were boring,They,books,students
1418,The birds pecked at the scattered seeds,They were tempting,They,seeds,birds
1419,The hard-working bee buzzed around the lovely flower,It was offering nectar,It,flower,bee
1420,The storm suspended the scheduled flight,It was carrying important documents,It,flight,storm
1421,The sniper took out the terrorist,He was a notorious dealer,He,terrorist,sniper
1422,The ferocious storm ruined the flight,It was flying to Hawaii,It,flight,storm
1423,The knife punctured the soccer fence effortlessly,It was rusty and corroded,It,fence,knife
1424,The unready sailors dived off the boats,They were tipping over,They,boats,sailors
1425,The bee explored the flower,It was determined to succeed,It,bee,flower
1426,The heart circulated blood that rejuvenated cells,It was a cleansing fluid,It,blood,heart
1427,The skilled bee approached the intricate flower,It was a valuable resource,It,flower,bee
1428,The serrated knife scratched the fence surrounding the pool,It was decayed and rotted,It,fence,knife
1429,The students read through the intricate books,They were convincing,They,books,students
1430,The tireless bee was always on the flower,It was seeking more flowers,It,bee,flower
1431,The sniper fired the notorious terrorist,He was a violent drug lord,He,terrorist,sniper
1432,The heavy-duty knife sliced through the construction fence rapidly,It was a weak and ineffective,It,fence,knife
1433,The dull knife scratched the parking fence with a swift motion,It was an accurate instrument,It,knife,fence
1434,The resourceful sailors tumbled off the boats,They were suffering structural damage,They,boats,sailors
1435,The precise sniper took out the terrorist,He was a talented sharpshooter,He,sniper,terrorist
1436,The winning sniper executed the terrorist,He was a brutal killer,He,terrorist,sniper
1437,The treacherous storm destroyed the flight,It was carrying important documents,It,flight,storm
1438,The sailors jumped off the boats,They were facing the storm,They,sailors,boats
1439,The storm prevented the morning flight,It was flying to Hawaii,It,flight,storm
1440,The bee ventured to the delicious flower,It was full of nectar,It,flower,bee
1441,The starving birds pecked at the seeds,They were a tasty snack,They,seeds,birds
1442,The persistent students researched the books,They were difficult to understand,They,books,students
1443,The storm impacted the international flight,It was causing flash floods,It,storm,flight
1444,The ambitious students read through the stimulating books,They were filled with knowledge,They,books,students
1445,The creative heart drove vitamin-rich blood that fought infections,It was a messaging fluid,It,blood,heart
1446,The sniper eliminated the terrorist,He was a ruthless arms dealer,He,terrorist,sniper
1447,The colorful birds chewed on the seeds,They were tasty and satisfying,They,seeds,birds
1448,The powerful heart beat blood with unwavering attention,It was a energetic organ,It,heart,blood
1449,The persistent birds plucked the scrumptious seeds,They were scrumptious,They,seeds,birds
1450,The fearless heart beat revitalizing blood that sustained life,It was a healing liquid,It,blood,heart
1451,The students pored over the books,They were beautifully written,They,books,students
1452,The panicked sailors escaped off the boats,They were in poor condition,They,boats,sailors
1453,The heavy-duty knife sliced through the old fence surrounding the garden,It was a separating the properties,It,fence,knife
1454,The indomitable heart drove muscle-oxygenating blood that nourished cells,It was a life-saving liquid,It,blood,heart
1455,The robust heart circulated blood with great force,It was a streamlined muscle,It,heart,blood
1456,The sailors jumped from the loaded boats,They were untrustworthy,They,boats,sailors
1457,The clever bee approached the flowering flower,It was a popular destination,It,flower,bee
1458,The creative students studied the imaginative books,They were gaining valuable information,They,students,books
1459,The accurate sniper eliminated the terrorist,He was a top assassin,He,sniper,terrorist
1460,The sharp knife sliced through the old fence firmly,It was a obstructive and imposing,It,fence,knife
1461,The sniper took out the terrorist,He was a notorious insurgent,He,terrorist,sniper
1462,The birds chose the seeds,They were seeking new experiences,They,birds,seeds
1463,The serrated knife scraped the soccer fence with one quick strike,It was a sharp blade,It,knife,fence
1464,The sailors fled the unreliable boats,They were exploring uncharted territories,They,sailors,boats
1465,The birds plucked the delectable seeds,They were having fun,They,birds,seeds
1466,The brave students analyzed the adventurous books,They were entertaining,They,books,students
1467,The knife scratched the fence with power,It was sharp and well-maintained,It,knife,fence
1468,The fearless heart circulated sustaining blood rapidly,It was a rhythmic organ,It,heart,blood
1469,The massive storm delayed the flight,It was carrying important documents,It,flight,storm
1470,The powerful storm forced the commercial flight,It was putting travelers in danger,It,storm,flight
1471,The storm suspended the scheduled flight,It was flying to Hawaii,It,flight,storm
1472,The storm prevented the flight,It was full of passengers,It,flight,storm
1473,The resourceful sniper assassinated the terrorist,He was a talented shooter,He,sniper,terrorist
1474,The dull knife scratched the fence blocking the path,It was freshly painted,It,fence,knife
1475,The sturdy knife sliced through the old fence with precision,It was a strong implement,It,knife,fence
1476,The diligent students scrutinized the self-help books,They were filled with data,They,books,students
1477,The precision knife sliced through the fence separating the yards,It was dilapidated and weak,It,fence,knife
1478,The dedicated students reviewed the books,They were improving their problem-solving skills,They,students,books
1479,The sniper neutralized the terrorist,He was a ruthless assassin,He,terrorist,sniper
1480,The severe storm delayed the flight,It was carrying a VIP,It,flight,storm
1481,The resilient people rallied for their cause against the government,They were making their presence known,They,people,government
1482,The unyielding heart beat blood that nourished cells,It was a life-enriching fluid,It,blood,heart
1483,The adventurous bee alighted on the flower,It was an untouched paradise,It,flower,bee
1484,The knife punctured the fence smoothly,It was old and weakened by time,It,fence,knife
1485,The birds gobbled down the fertile seeds,They were exploring their options,They,birds,seeds
1486,The sniper targeted the terrorist,He was a brutal insurgent,He,terrorist,sniper
1487,The innovative birds picked at the seeds,They were a satisfying food,They,seeds,birds
1488,The innovative people held a hunger strike against the inhumane government,They were colluding with corporations,They,government,people
1489,The eager students analyzed the self-help books,They were containing valuable information,They,books,students
1490,The unyielding heart drove blood-pressure-controlling blood that supported life,It was a life-sustaining fluid,It,blood,heart
1491,The knife severed the fence surrounding the garden,It was protecting the garden from the wind,It,fence,knife
1492,The chaotic storm suspended the scheduled flight,It was making road conditions hazardous,It,storm,flight
1493,The quick-witted birds foraged for the tough seeds,They were insatiable,They,birds,seeds
1494,The starving birds flitted to the overlooked seeds,They were exploring their options,They,birds,seeds
1495,The unstoppable heart moved blood with great force,It was a rhythmic organ,It,heart,blood
1496,The knife scraped the fence with a swift motion,It was heavy-duty and efficient,It,knife,fence
1497,The strong bee settled on the productive flower,It was collecting nectar,It,bee,flower
1498,The serrated knife scraped the parking fence rapidly,It was a easily cut,It,fence,knife
1499,The inexperienced sailors plunged off the dilapidated boats,They were tipping over,They,boats,sailors
1500,The strong heart drove cleansing blood that supported life,It was a temperature-controlling liquid,It,blood,heart
1501,The quick-witted birds snatched the soft seeds,They were fragrant,They,seeds,birds
1502,The birds picked at the hidden seeds,They were in a hurry,They,birds,seeds
1503,The knife punctured the fence with precision,It was a precise tool,It,knife,fence
1504,The athletic heart moved organ-supporting blood that rejuvenated cells,It was a vitalizing fluid,It,blood,heart
1505,The robust heart circulated blood that nourished cells,It was a nourishing liquid,It,blood,heart
1506,The storm delayed the morning flight,It was full of passengers,It,flight,storm
1507,The knife cut through the swimming fence surrounding the property,It was flimsy and ineffective,It,fence,knife
1508,The athletic heart drove muscle-oxygenating blood that maintained life,It was a life-saving liquid,It,blood,heart
1509,The agile bee flew straight to the flower,It was determined to succeed,It,bee,flower
1510,The sailors escaped from the understaffed boats,They were capsizing,They,boats,sailors
1511,The police pursued the criminals through the park,They were robbing a convenience store,They,criminals,police
1512,The quick heart drove essential blood that sustained life,It was a anti-inflammatory fluid,It,blood,heart
1513,The police identified the criminals through the city,They were skilled at avoiding detection,They,criminals,police
1514,The pecking birds noticed the delectable seeds,They were a new experience,They,seeds,birds
1515,The students explored the books,They were providing new insights,They,books,students
1516,The storm battered the morning flight,It was making road conditions hazardous,It,storm,flight
1517,The desperate sailors sprang from the boats,They were not balanced,They,boats,sailors
1518,The familia birds discovered the ripe seeds,They were seeking nourishment,They,birds,seeds
1519,The sailors leaped off the top-heavy boats,They were sinking,They,boats,sailors
1520,The bee worked on the lovely flower,It was seeking quality nectar,It,bee,flower
1521,The enthusiastic heart circulated rejuvenating blood that sustained life,It was a heart-supporting liquid,It,blood,heart
1522,The storm frightened the commercial flight,It was carrying essential supplies,It,flight,storm
1523,The birds chose the falling seeds,They were quick,They,birds,seeds
1524,The acrobatic birds chewed on the seeds,They were looking for nourishment,They,birds,seeds
1525,The heart pushed blood with determination,It was a unstoppable muscle,It,heart,blood
1526,The adventurous students read over the enriching books,They were providing essential knowledge,They,books,students
1527,The productive bee settled on the flower,It was loaded with nectar,It,flower,bee
1528,The determined bee buzzed the flower,It was a treasure,It,flower,bee
1529,The creative students studied the biography books,They were acquiring valuable skills,They,students,books
1530,The fearless people marched in solidarity against the unresponsive government,They were censoring the media,They,government,people
1531,The sailors leaped off the well-built boats,They were fighting for survival,They,sailors,boats
1532,The sniper eliminated the notorious terrorist,He was a violent dictator,He,terrorist,sniper
1533,The acrobatic birds searched for the different seeds,They were a never-ending food,They,seeds,birds
1534,The productive bee ventured to the rich flower,It was seeking more flowers,It,bee,flower
1535,The determined students explored the self-help books,They were struggling to stay awake,They,students,books
1536,The fearless people held a sit-in against the government,They were demanding freedom,They,people,government
1537,The storm caused trouble for the commercial flight,It was producing tornadoes,It,storm,flight
1538,The skillful heart circulated nourishing blood that nourished cells,It was a anti-inflammatory liquid,It,blood,heart
1539,The innovative people led a protest against the dismissive government,They were exploiting the poor,They,government,people
1540,The brave bee was always on the flower,It was producing nectar,It,flower,bee
1541,The inexperienced sailors bailed out of the boats,They were lacking necessary supplies,They,boats,sailors
1542,The people occupied the city center against the government,They were monitoring citizens,They,government,people
1543,The strong sailors jumped from the rickety boats,They were exploring uncharted waters,They,sailors,boats
1544,The eager students perused the self-help books,They were enhancing their skills,They,students,books
1545,The people led a demonstration against the government,They were suppressing opposition,They,government,people
1546,The sailors leaped off the unprotected boats,They were saving their crew,They,sailors,boats
1547,The birds found the seeds,They were a tasty treat,They,seeds,birds
1548,The persistent birds chewed on the seeds,They were looking for new flavors,They,birds,seeds
1549,The formidable heart beat revitalizing blood that rejuvenated cells,It was a muscle-nourishing fluid,It,blood,heart
1550,The tireless bee flew back out of the intricate flower,It was bursting with nectar,It,flower,bee
1551,The bee gathered pollen from the rich flower,It was seeking pollen,It,bee,flower
1552,The adventurous students absorbed the enriching books,They were convincing,They,books,students
1553,The resourceful sniper targeted the terrorist,He was a top sharpshooter,He,sniper,terrorist
1554,The students analyzed the enriching books,They were expanding their knowledge,They,students,books
1555,The energetic birds gobbled down the crisp seeds,They were a delicious snack,They,seeds,birds
1556,The powerful storm devastated the international flight,It was putting travelers in danger,It,storm,flight
1557,The heavy-duty knife cut through the parking fence surrounding the garden,It was a old and weakened by time,It,fence,knife
1558,The creative heart circulated cleansing blood that supported life,It was a life-essential liquid,It,blood,heart
1559,The graceful birds nibbled on the fertile seeds,They were a irresistible treat,They,seeds,birds
1560,The energetic people joined a nonviolent protest against the government,They were committing genocide,They,government,people
1561,The sailors dropped off the rickety boats,They were overloading,They,boats,sailors
1562,The police identified the criminals through the residential area,They were a relentless and focused force,They,police,criminals
1563,The heart pushed blood rapidly,It was a fearless organ,It,heart,blood
1564,The toned heart circulated cleansing blood that supported life,It was a life-supporting liquid,It,blood,heart
1565,The serrated knife scraped the community fence near the garden,It was a separating the yards,It,fence,knife
1566,The passionate people organized a boycott against the government,They were making their presence known,They,people,government
1567,The storm pounded the flight,It was full of passengers,It,flight,storm
1568,The relentless storm forced the flight,It was causing flash floods,It,storm,flight
1569,The heart drove essential blood with assurance,It was a robust organ,It,heart,blood
1570,The dull knife sliced through the weak fence smoothly,It was a easily damaged and in disrepair,It,fence,knife
1571,The sailors jumped from the boats,They were navigating poorly,They,sailors,boats
1572,The dull knife sliced through the school fence surrounding the property,It was a damaged and unstable,It,fence,knife
1573,The sturdy knife sliced through the fence surrounding the garden,It was blocking the view,It,fence,knife
1574,The persistent students learned from the contemporary books,They were making a difference,They,students,books
1575,The sniper took aim the terrorist,He was a resourceful shooter,He,sniper,terrorist
1576,The observant birds sampled the seeds,They were a joyful food,They,seeds,birds
1577,The students immersed themselves in the stimulating books,They were filled with knowledge,They,books,students
1578,The eager students discussed the enriching books,They were convincing,They,books,students
1579,The storm forced the commercial flight,It was carrying important documents,It,flight,storm
1580,The knife scraped the weak fence easily,It was surrounding the property,It,fence,knife
1581,The fearless people marched against the inhumane government,They were suppressing free speech,They,government,people
1582,The students perused the books,They were thrilling their senses,They,students,books
1583,The determined students delved into the books,They were filled with data,They,books,students
1584,The imaginative bee ventured to the delicious flower,It was providing food,It,flower,bee
1585,The efficient bee buzzed the pristine flower,It was rich in nectar,It,flower,bee
1586,The toned heart pumped rejuvenating blood that maintained life,It was a heart-supporting fluid,It,blood,heart
1587,The bee hovered near the flower,It was rich with nectar,It,flower,bee
1588,The bee collected pollen from the flower,It was ready for another journey,It,bee,flower
1589,The skilled bee rested on the flower,It was producing honey,It,flower,bee
1590,The storm caused trouble for the morning flight,It was causing flash floods,It,storm,flight
1591,The people marched in solidarity against the government,They were fighting for their future,They,people,government
1592,The winning sniper took aim the terrorist,He was a ruthless human rights violator,He,terrorist,sniper
1593,The sturdy knife cut through the construction fence surrounding the park,It was a sturdy blade,It,knife,fence
1594,The people rallied for their cause against the ineffective government,They were promoting unity,They,people,government
1595,The resourceful sniper eliminated the dangerous terrorist,He was a talented marksman,He,sniper,terrorist
1596,The ambitious students created projects based on the adventurous books,They were expanding their understanding,They,students,books
1597,The strong bee inspected the symmetrical flower,It was offering nectar,It,flower,bee
1598,The storm ruined the morning flight,It was putting travelers in danger,It,storm,flight
1599,The bee settled on the towering flower,It was a sensory feast,It,flower,bee
1600,The outraged people demonstrated against the unresponsive government,They were denying equal rights,They,government,people
1601,The knife punctured the fence with minimal effort,It was sharp and effective,It,knife,fence
1602,The winning sniper took down the terrorist,He was a notorious launderer,He,terrorist,sniper
1603,The knife sliced through the fence smoothly,It was separating the fields,It,fence,knife
1604,The chaotic storm suspended the flight,It was carrying essential supplies,It,flight,storm
1605,The birds gobbled down the seeds,They were looking for new flavors,They,birds,seeds
1606,The outraged people formed a picket line against the government,They were making a statement,They,people,government
1607,The fearless people led a protest against the unrepresentative government,They were embezzling public funds,They,government,people
1608,The skilled sailors fell off the boats,They were overloading,They,boats,sailors
1609,The agile bee alighted on the flower,It was attracting attention,It,flower,bee
1610,The people staged a sit-in against the unresponsive government,They were violating election laws,They,government,people
1611,The sailors bailed out of the rundown boats,They were taking unnecessary risks,They,sailors,boats
1612,The strong bee hovered near the generous flower,It was sipping nectar,It,bee,flower
1613,The eager students read through the imaginative books,They were enriching their minds,They,students,books
1614,The sailors dove off the poorly-stocked boats,They were not securing themselves,They,sailors,boats
1615,The dull knife cut through the fence with efficiency,It was a sharp and well-oiled,It,knife,fence
1616,The precise sniper took out the brutal terrorist,He was a violent dealer,He,terrorist,sniper
1617,The brave students scrutinized the insightful books,They were divisive,They,books,students
1618,The active bee flew straight to the pristine flower,It was searching for pollen,It,bee,flower
1619,The outraged people formed a coalition against the government,They were making a stand,They,people,government
1620,The dangerous storm posed a threat to the scheduled flight,It was carrying a VIP,It,flight,storm
1621,The unyielding heart circulated blood that fought infections,It was a nourishing fluid,It,blood,heart
1622,The durable knife severed the fence with precision,It was a powerful and precise,It,knife,fence
1623,The storm cancelled the flight,It was carrying cargo,It,flight,storm
1624,The proactive people blockaded the government building against the dishonest government,They were violating human dignity,They,government,people
1625,The hardworking bee worked on the abundant flower,It was a popular destination,It,flower,bee
1626,The eager birds pecked at the difficult-to-reach seeds,They were looking for a treat,They,birds,seeds
1627,The durable knife sliced through the fence surrounding the park,It was old and rusted,It,fence,knife
1628,The heart pumped blood that supported life,It was a life-giving liquid,It,blood,heart
1629,The bee explored the flower,It was sipping nectar,It,bee,flower
1630,The hard-working students pored over the comedy books,They were seeking knowledge,They,students,books
1631,The veteran sailors sprang from the boats,They were not built well,They,boats,sailors
1632,The birds kept eating the mouth-watering seeds,They were a tasty snack,They,seeds,birds
1633,The sailors fell off the unsound boats,They were not trained,They,sailors,boats
1634,The eager students read through the adventurous books,They were broadening their perspectives,They,students,books
1635,The knife sliced through the fence with minimal effort,It was precise and accurate,It,knife,fence
1636,The students memorized the ancient books,They were visually stunning,They,books,students
1637,The sailors fell off the rickety boats,They were sailing in treacherous waters,They,sailors,boats
1638,The accurate sniper took out the terrorist,He was a successful killer,He,sniper,terrorist
1639,The busy birds ate the seeds,They were seeking new opportunities,They,birds,seeds
1640,The winning sniper assassinated the brutal terrorist,He was a vicious warmonger,He,terrorist,sniper
1641,The fearless people joined a nonviolent protest against the government,They were violating environmental laws,They,government,people
1642,The exhausted sailors jumped from the boats,They were facing malfunctions,They,boats,sailors
1643,The brave bee stopped at the alluring flower,It was an untouched paradise,It,flower,bee
